ZIP Code,Cases,Cases Per 10000 Residents,Deaths,Number of Records
28658,234,90,3,1
27401,152,75,3,1
28037,105,44,0,1
28646,0,0,0,1
27846,8,26,0,1
28460,32,30,1,1
27537,242,96,9,1
28657,9,9,0,1
27043,33,51,0,1
27053,6,19,0,1
28677,298,84,6,1
28472,175,87,12,1
27344,704,365,20,1
28635,13,32,0,1
28134,165,140,1,1
27520,482,110,23,1
27501,158,74,1,1
28584,27,21,0,1
27616,582,105,4,1
28385,22,73,0,1
27012,183,63,0,1
28510,4,26,0,1
27892,95,66,2,1
27517,151,52,0,1
28307,18,12,0,1
28540,97,19,0,1
27107,760,145,7,1
28578,177,251,3,1
27849,5,34,0,1
28137,19,49,0,1
28681,123,46,0,1
28358,428,111,13,1
28638,93,74,0,1
27265,297,59,20,1
28453,220,532,6,1
28547,30,22,0,1
28170,103,82,1,1
27104,270,92,4,1
28208,735,184,6,1
28763,16,56,0,1
28206,207,136,1,1
28349,146,369,6,1
27968,0,0,0,1
28343,2,13,0,1
27850,26,35,0,1
28643,6,17,0,1
28021,80,60,1,1
28741,63,201,0,1
27281,24,65,0,1
28377,171,131,4,1
27332,370,110,3,1
28753,12,10,0,1
27829,6,32,1,1
27614,130,34,0,1
28025,459,83,5,1
28611,10,102,0,1
28432,17,101,1,1
27950,1,5,0,1
28617,5,20,0,1
28906,53,26,2,1
28135,33,55,0,1
28347,18,99,0,1
28762,29,38,0,1
27217,663,170,33,1
27263,149,67,1,1
28705,10,14,0,1
28581,0,0,0,1
28557,14,9,0,1
27969,0,,0,1
28138,61,52,0,1
28144,335,130,15,1
27703,974,159,6,1
28351,20,38,0,1
28612,88,59,1,1
28364,116,76,0,1
28779,74,42,1,1
28574,57,32,0,1
28785,10,12,0,1
28556,0,0,0,1
28806,272,62,27,1
27843,10,106,0,1
27022,3,20,0,1
28694,17,21,0,1
27516,201,46,3,1
28717,15,102,0,1
28098,17,42,0,1
28708,0,0,0,1
28350,0,0,0,1
28469,60,80,0,1
27826,0,0,0,1
28747,1,4,1,1
27824,8,52,0,1
28216,777,132,6,1
28645,366,77,4,1
28078,364,55,5,1
28684,3,14,1,1
28465,27,33,0,1
27805,18,48,0,1
28678,26,50,0,1
28660,16,68,0,1
28561,0,,0,1
27817,25,32,0,1
28740,9,42,0,1
27812,21,71,0,1
28334,229,87,1,1
28463,164,166,11,1
28107,60,73,0,1
27942,1,11,0,1
28756,17,36,0,1
27559,11,38,0,1
28434,7,52,0,1
27883,31,71,1,1
27820,20,61,2,1
27024,10,37,0,1
27046,2,10,0,1
27801,107,50,3,1
27943,0,0,0,1
27572,28,38,0,1
27215,311,69,3,1
27292,381,92,5,1
28310,38,43,0,1
28523,5,22,1,1
27377,57,59,0,1
28562,247,65,4,1
27030,283,75,3,1
27709,0,0,0,1
27840,10,187,2,1
27540,129,33,1,1
27523,51,40,0,1
27376,74,75,1,1
27589,74,89,3,1
27316,139,194,10,1
27612,209,53,2,1
28337,126,106,0,1
28133,22,81,0,1
28326,99,44,1,1
27356,40,114,1,1
28125,9,34,0,1
28223,0,0,0,1
28452,11,214,0,1
27406,415,68,33,1
28147,514,196,23,1
28043,140,65,2,1
28777,52,50,1,1
27828,42,47,0,1
28605,9,22,0,1
27893,564,139,15,1
28315,88,66,1,1
28669,17,54,0,1
27504,164,100,1,1
28573,5,20,1,1
27853,0,0,0,1
27455,121,41,5,1
27841,0,0,0,1
27027,9,22,0,1
28905,13,37,0,1
28713,21,23,0,1
27982,0,,0,1
27357,49,59,1,1
28253,0,,0,1
27823,45,58,0,1
27810,9,21,0,1
28447,66,495,0,1
27571,23,31,0,1
28052,479,130,1,1
28663,0,0,0,1
27313,90,123,16,1
28356,16,33,2,1
27524,177,131,0,1
27807,93,134,1,1
28301,180,102,18,1
28392,23,148,1,1
27549,268,106,22,1
28730,9,9,0,1
28012,152,63,2,1
28773,25,71,4,1
28398,276,360,8,1
27979,2,11,0,1
28375,0,0,0,1
28086,148,55,1,1
28752,261,83,1,1
27809,46,88,1,1
28311,161,45,3,1
28401,205,85,0,1
27556,0,0,0,1
27949,15,21,0,1
28719,50,72,1,1
27569,98,109,0,1
28585,24,58,2,1
28454,3,8,0,1
27511,211,62,2,1
27106,451,88,4,1
28560,127,44,2,1
28525,23,70,0,1
28386,145,239,3,1
28650,72,54,0,1
28608,0,,0,1
28682,3,27,0,1
27534,302,95,2,1
28572,54,85,0,1
28456,32,90,0,1
28314,281,52,6,1
27284,312,56,4,1
28091,10,42,0,1
27874,23,48,0,1
28716,41,22,0,1
27924,28,80,0,1
28615,2,11,0,1
28371,65,92,2,1
27519,183,31,2,1
28031,247,80,16,1
27013,37,57,2,1
28746,4,15,0,1
28088,26,85,0,1
27233,9,25,0,1
28630,182,89,2,1
28127,122,160,0,1
27518,75,33,0,1
28461,58,28,2,1
